STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;CUSUMANO_Banner_480x300.JPG;;08/07/2024 09:38:47;300,05;484,80;1;14,5500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:23;00:01:14;;0,00;€0,00;;;;;;;1;;;
OK;CocaCola_1220x330_Mondello.JPG;;08/07/2024 09:41:57;300,05;1.232,20;1;37,0000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:32;00:03:09;;0,00;€0,00;;;;;;;1;;;
OK;Teli_abbate_-_670x550.JPG;;08/07/2024 11:10:34;550,10;676,80;1;37,2500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:26;00:03:11;;0,00;€0,00;;;;;;;1;;;
ERROR;Teli_abbate_-_500x400_con_tasca.JPG;;08/07/2024 11:39:04;500,10;414,20;1;20,7500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:15;00:01:04;;0,00;€0,00;;;;;;;1;;;
OK;Teli_abbate_-_500x400_con_tasca.JPG;;08/07/2024 11:40:44;500,10;414,20;1;20,7500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:15;00:01:52;;0,00;€0,00;;;;;;;1;;;
OK;Teli_abbate_-_500x400_con_tasca.JPG;;08/07/2024 13:31:50;250,80;414,20;1;10,4000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:15;00:00:55;;0,00;€0,00;;;;;;;1;;;
OK;Merci_Service_Banner_Microf_30x252_02_Copie.PDF;;08/07/2024 13:59:39;252,00;30,30;2;0,8000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:03;00:00:05;;0,00;€0,00;;;;;;;1;;;
