STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;Teli_Abbate_Tetto_C1.JPG;;04/02/2026 11:23:03;270,15;466,20;1;12,6000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:17;00:01:53;;0,00;€0,00;;;;;;;1;;;
OK;Teli_Abbate_Tetto_C5.JPG;;04/02/2026 11:23:58;95,15;470,85;1;4,5000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:07;00:01:53;;0,00;€0,00;;;;;;;1;;;
OK;Teli_Abbate_Tetto_C1.JPG;;04/02/2026 11:27:16;270,15;470,85;1;12,7500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:14;00:00:55;;0,00;€0,00;;;;;;;1;;;
OK;Teli_Abbate_Tetto_C2~1.JPG;;04/02/2026 11:33:41;270,15;470,85;1;12,7500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:12;00:00:54;;0,00;€0,00;;;;;;;1;;;
OK;Teli_Abbate_Tetto_C3.JPG;;04/02/2026 11:44:04;270,15;470,85;1;12,7500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:14;00:00:57;;0,00;€0,00;;;;;;;1;;;
OK;Teli_Abbate_Tetto_C4.JPG;;04/02/2026 12:04:44;270,15;470,85;1;12,7500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:10;00:00:58;;0,00;€0,00;;;;;;;1;;;
OK;Teli_Abbate_Tetto_C5.JPG;;04/02/2026 12:23:27;95,15;470,85;1;4,5000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:05;00:00:23;;0,00;€0,00;;;;;;;1;;;
OK;OW_Porta_SX_A.JPG;;04/02/2026 12:34:39;52,75;176,05;1;0,9500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:05;00:00:11;;0,00;€0,00;;;;;;;1;;;
OK;OW_Porta_SX_B.JPG;;04/02/2026 12:34:39;54,30;176,80;1;1,0000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:06;00:00:11;;0,00;€0,00;;;;;;;1;;;
OK;OW_Porta_DX_A.JPG;;04/02/2026 12:44:29;53,30;176,05;1;0,9500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:05;00:00:12;;0,00;€0,00;;;;;;;1;;;
OK;OW_Porta_DX_B.JPG;;04/02/2026 12:44:29;54,30;176,80;1;1,0000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:06;00:00:12;;0,00;€0,00;;;;;;;1;;;
OK;OW_Lato_Bussola.JPG;;04/02/2026 12:50:22;860,45;158,40;1;13,6500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:13;00:01:15;;0,00;€0,00;;;;;;;1;;;
OK;OW_Lato_Guida.JPG;;04/02/2026 12:54:32;706,20;157,00;1;11,1000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:13;00:01:04;;0,00;€0,00;;;;;;;1;;;
OK;OW_Retro.JPG;;04/02/2026 12:55:57;142,55;140,10;1;2,0000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:05;00:00:12;;0,00;€0,00;;;;;;;1;;;
OK;OW_Lato_Bussola.JPG;;04/02/2026 12:59:19;103,25;158,40;1;1,6500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:12;00:00:10;;0,00;€0,00;;;;;;;1;;;
OK;OW_CM_220x149.JPG;;04/02/2026 13:42:15;220,00;149,05;1;3,3000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:13;00:00:20;;0,00;€0,00;;;;;;;1;;;
OK;OW_UW_250x120.JPG;;04/02/2026 13:44:01;250,00;120,00;1;3,0000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:10;00:00:18;;0,00;€0,00;;;;;;;1;;;
OK;PVC_UW_250x104.JPG;;04/02/2026 13:55:50;250,00;104,05;1;2,6500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:10;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;PVC_CM_220x109.JPG;;04/02/2026 14:14:14;220,00;109,00;1;2,4000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:07;00:00:15;;0,00;€0,00;;;;;;;1;;;
OK;PVC_Lato_Bussola_C.JPG;;04/02/2026 14:26:00;236,20;113,00;1;2,7000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:08;00:00:18;;0,00;€0,00;;;;;;;1;;;
OK;PVC_Lato_Bussola_A.JPG;;04/02/2026 14:34:26;111,65;98,85;1;1,1500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:07;00:00:07;;0,00;€0,00;;;;;;;1;;;
OK;PVC_Lato_Bussola_B.JPG;;04/02/2026 14:38:41;270,20;113,00;1;3,1000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:09;00:00:20;;0,00;€0,00;;;;;;;1;;;
OK;PVC_Lato_Guida.JPG;;04/02/2026 14:41:34;998,60;113,85;1;11,4000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:19;00:01:07;;0,00;€0,00;;;;;;;1;;;
OK;PVC_Retro.JPG;;04/02/2026 14:48:07;220,00;85,00;1;1,9000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:12;;0,00;€0,00;;;;;;;1;;;
