STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;ARD_280x200.JPG;;08/05/2025 08:45:15;198,00;279,45;1;5,5500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:12;00:00:31;;0,00;€0,00;;;;;;;1;;;
OK;Rotary_Alux.JPG;;08/05/2025 09:16:33;280,00;156,00;3;4,4000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:09;00:00:24;;0,00;€0,00;;;;;;;1;;;
OK;AGAVE_telo_8x2.JPG;;08/05/2025 09:54:34;200,30;808,10;1;16,2000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:18;00:01:40;;0,00;€0,00;;;;;;;1;;;
