STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;Autoscout_8x8.JPG;;11/12/2025 08:11:29;785,15;792,90;1;62,2500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:27;00:05:10;;0,00;€0,00;;;;;;;1;;;
OK;Autoscout_Alux.JPG;;11/12/2025 08:33:27;280,00;156,00;1;4,4000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:06;00:00:23;;0,00;€0,00;;;;;;;1;;;
OK;VM_telo_3x3_Titolo.PDF;;11/12/2025 08:39:57;300,00;303,00;1;9,1000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:37;00:00:41;;0,00;€0,00;;;;;;;1;;;
