STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;PaghiPoco_6x3_Caltagirone.JPG;;12/09/2024 11:04:59;568,00;280,00;2;31,8500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:24;01:15:35;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_6x3_CT-Besana.JPG;;12/09/2024 11:30:10;568,00;280,00;1;15,9500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:23;01:15:35;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_6x3_CT-SGiovLaPunta.JPG;;12/09/2024 11:47:12;568,00;280,00;1;15,9500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:24;01:15:35;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_6x3_Misterbianco.JPG;;12/09/2024 12:03:22;568,00;280,00;1;15,9500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:22;01:15:35;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_6x3_Palermo.JPG;;12/09/2024 13:31:18;568,00;280,00;3;47,7500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:22;00:42:13;;0,00;€0,00;;;;;;;0;;;
OK;N_1_MANIF_200X140_RETRO_TAVOLO_GLORIA_BATTESIMO_.JPG;;12/09/2024 14:17:23;140,05;200,00;1;2,8500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:13;00:01:21;;0,00;€0,00;;;;;;;0;;;
OK;CoppaAssi_6x3.JPG;;12/09/2024 14:23:19;568,00;280,00;6;95,4500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:22;01:33:44;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_140x200_A_Trapani.JPG;;12/09/2024 16:09:37;131,00;194,00;16;40,7000;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:09;00:58:19;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_140x200_B_Trapani.JPG;;12/09/2024 16:45:44;131,00;194,05;8;20,3500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:09;00:58:19;;0,00;€0,00;;;;;;;0;;;
ERROR;PaghiPoco_6x3_Siracusa.JPG;;12/09/2024 11:01:18;568,00;280,00;5;79,5500;DGen Papyrus G5 - 1;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:22;00:00:01;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_6x3_Siracusa.JPG;;12/09/2024 11:04:54;568,00;280,00;5;79,5500;DGen Papyrus G5 - 1;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:22;02:02:19;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_100x140_A_Siracusa.JPG;;12/09/2024 12:20:26;131,00;95,00;2;2,5000;DGen Papyrus G5 - 1;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:05;02:02:19;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_100x140_B_Siracusa.JPG;;12/09/2024 12:23:13;131,00;95,00;3;3,7500;DGen Papyrus G5 - 1;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:06;02:02:19;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_140x200_A_Siracusa.JPG;;12/09/2024 12:27:15;134,05;194,05;7;18,2000;DGen Papyrus G5 - 1;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:09;02:02:19;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_140x200_B_Siracusa.JPG;;12/09/2024 12:47:06;134,05;194,05;7;18,2000;DGen Papyrus G5 - 1;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:10;02:02:19;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_6x3_Palermo.JPG;;12/09/2024 13:31:10;568,00;280,00;5;79,5500;DGen Papyrus G5 - 1;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:22;01:15:26;;0,00;€0,00;;;;;;;0;;;
OK;Compass_100x140_PA.JPG;;12/09/2024 08:18:33;131,00;95,00;22;27,4000;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:08;01:20:49;;0,00;€0,00;;;;;;;0;;;
OK;Compass_100x140_TP.JPG;;12/09/2024 08:45:25;131,00;95,00;40;49,8000;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:08;01:20:49;;0,00;€0,00;;;;;;;0;;;
OK;Teatro_100x140.JPG;;12/09/2024 09:41:01;131,00;95,00;30;37,3500;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:05;01:23:19;;0,00;€0,00;;;;;;;0;;;
OK;Teatro_140x200.JPG;;12/09/2024 10:20:13;131,00;194,00;10;25,4500;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:11;01:23:19;;0,00;€0,00;;;;;;;0;;;
OK;StudioImprese_6x3_Alim.JPG;;12/09/2024 10:47:48;568,00;280,00;1;15,9500;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:28;01:23:19;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_140x200_A_Palermo.JPG;;12/09/2024 11:13:36;131,00;194,05;17;43,2500;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:13;01:33:31;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_140x200_B_Palermo.JPG;;12/09/2024 11:57:38;131,00;194,05;18;45,7500;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:14;01:33:31;;0,00;€0,00;;;;;;;0;;;
ERROR;PaghiPoco_140x200_A_Trapani.JPG;;12/09/2024 13:27:55;131,00;194,05;16;40,7000;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:13;00:23:04;;0,00;€0,00;;;;;;;0;;;
ERROR;CoppaAssi_140x200.JPG;;12/09/2024 13:54:20;131,00;194,00;34;86,4500;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:15;00:03:29;;0,00;€0,00;;;;;;;0;;;
OK;CoppaAssi_140x200.JPG;;12/09/2024 13:58:21;131,00;194,00;34;86,4500;DGen Papyrus G5 - 2;2 pass blueback [Double CM profiles];720x1200;00:00:15;01:15:43;;0,00;€0,00;;;;;;;0;;;
