STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;TeatroGolden_120x70_Capinera.JPG;;20/02/2025 07:57:01;66,00;116,05;38;0,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:02;00:00:05;;0,00;€0,00;;;;;;;1;;;
OK;TeatroGolden_100x70_Capinera.JPG;;20/02/2025 07:59:44;65,85;94,05;8;0,6500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:02;00:00:24;;0,00;€0,00;;;;;;;1;;;
OK;Buffa_1430x510.JPG;;20/02/2025 08:47:46;1.430,05;515,10;1;73,7000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:37;00:06:36;;0,00;€0,00;;;;;;;1;;;
OK;LIDL_12x3_Rotor.JPG;;20/02/2025 13:35:21;1.193,05;284,85;1;34,0000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:17;00:03:06;;0,00;€0,00;;;;;;;1;;;
OK;Affarinoro_-_Parapedonale_Dante.JPG;;20/02/2025 13:57:22;66,00;116,05;3;2,3000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:02;00:00:27;;0,00;€0,00;;;;;;;3;;;
OK;Natravolta_-_Parapedonale_Dante.JPG;;20/02/2025 13:57:30;66,00;116,05;3;2,3000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:02;00:00:27;;0,00;€0,00;;;;;;;3;;;
OK;Paradice_100x70.JPG;;20/02/2025 14:26:58;66,00;94,05;16;9,9500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:02;00:03:12;;0,00;€0,00;;;;;;;16;;;
OK;Paradice_120x70.JPG;;20/02/2025 14:27:53;66,00;116,05;34;26,0500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:02;00:02:50;;0,00;€0,00;;;;;;;34;;;
