STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;Bonsignore-150x70.JPG;;06/05/2026 08:14:06;70,00;150,05;5;5,3000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:00:28;;0,00;€0,00;;;;;;;1;;;
OK;Addakuosa_120x70_A.JPG;;06/05/2026 09:55:59;65,85;116,05;10;7,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:01:26;;0,00;€0,00;;;;;;;1;;;
OK;Addakuosa_120x70_B.JPG;;06/05/2026 09:56:47;65,85;116,05;8;6,1500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:01:26;;0,00;€0,00;;;;;;;1;;;
