STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;VillaGattopardo_Politeama.JPG;;02/05/2026 09:04:11;775,05;661,60;1;51,3000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:31;00:04:18;;0,00;€0,00;;;;;;;1;;;
ERROR;I3-Italia_Alux.JPG;;02/05/2026 10:23:37;280,00;155,05;2;8,7000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:08;00:00:09;;0,00;€0,00;;;;;;;1;;;
OK;Penny-PA_Alux.JPG;;02/05/2026 10:24:05;280,00;155,05;1;4,3500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:08;00:01:10;;0,00;€0,00;;;;;;;1;;;
OK;I3-Italia_Alux.JPG;;02/05/2026 10:24:28;280,00;155,05;2;8,7000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:08;00:01:10;;0,00;€0,00;;;;;;;1;;;
OK;SbC_Alux.JPG;;02/05/2026 10:38:09;280,00;155,05;10;43,4500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:14;00:04:04;;0,00;€0,00;;;;;;;1;;;
OK;SbC_634x620.JPG;;02/05/2026 10:59:31;620,00;640,35;1;39,7000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:34;00:03:18;;0,00;€0,00;;;;;;;1;;;
OK;SbC_634x620.JPG;;02/05/2026 11:13:55;620,00;640,35;1;39,7000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:34;00:03:18;;0,00;€0,00;;;;;;;1;;;
OK;SbC_1196x416.JPG;;02/05/2026 11:41:16;1.196,05;420,20;1;50,3000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:01:02;00:04:20;;0,00;€0,00;;;;;;;1;;;
OK;SbC_Alux.JPG;;02/05/2026 11:57:17;280,00;155,05;6;26,0500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:14;00:02:29;;0,00;€0,00;;;;;;;1;;;
OK;KLab_Alux.JPG;;02/05/2026 12:45:27;280,05;155,05;1;4,3500;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:10;00:00:25;;0,00;€0,00;;;;;;;1;;;
OK;SbC_Alux.JPG;;02/05/2026 12:47:01;280,00;155,05;4;17,4000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:14;00:01:36;;0,00;€0,00;;;;;;;1;;;
