STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;GED_120x70_Palag1.JPG;;17/04/2026 09:04:54;66,00;116,00;4;3,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:01;00:01:22;;0,00;€0,00;;;;;;;1;;;
OK;GED_120x70_Palag2.JPG;;17/04/2026 09:05:11;66,00;116,00;4;3,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:01:22;;0,00;€0,00;;;;;;;1;;;
OK;GED_120x70_Palag3.JPG;;17/04/2026 09:05:26;66,00;116,00;4;3,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:01:22;;0,00;€0,00;;;;;;;1;;;
OK;GED_120x70_Palag4.JPG;;17/04/2026 09:05:41;66,00;116,00;4;3,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:01:22;;0,00;€0,00;;;;;;;1;;;
OK;GED_120x70_Palag5.JPG;;17/04/2026 09:05:58;66,00;116,00;4;3,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:01:22;;0,00;€0,00;;;;;;;1;;;
OK;GED_120x70_Oreto1.JPG;;17/04/2026 09:08:48;65,80;116,05;2;1,5500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:58;;0,00;€0,00;;;;;;;1;;;
OK;GED_120x70_Oreto2.JPG;;17/04/2026 09:08:56;65,80;116,05;4;3,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:58;;0,00;€0,00;;;;;;;1;;;
OK;GED_120x70_Oreto3.JPG;;17/04/2026 09:09:12;65,80;116,05;2;1,5500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:58;;0,00;€0,00;;;;;;;1;;;
OK;GED_120x70_Oreto4.JPG;;17/04/2026 09:09:21;65,80;116,05;2;1,5500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:58;;0,00;€0,00;;;;;;;1;;;
OK;GED_120x70_Oreto5.JPG;;17/04/2026 09:09:29;65,80;116,05;4;3,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:58;;0,00;€0,00;;;;;;;1;;;
OK;Max_120x70-1.JPG;;17/04/2026 09:50:02;65,85;116,05;4;3,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:01:25;;0,00;€0,00;;;;;;;1;;;
OK;Max_120x70-2.JPG;;17/04/2026 09:50:19;65,85;116,05;6;4,6000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:01:25;;0,00;€0,00;;;;;;;1;;;
OK;Max_120x70-3.JPG;;17/04/2026 09:50:44;65,85;116,05;6;4,6000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:01:25;;0,00;€0,00;;;;;;;1;;;
OK;Max_120x70-4.JPG;;17/04/2026 09:51:09;65,85;116,05;4;3,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:01:25;;0,00;€0,00;;;;;;;1;;;
OK;Famila_120x70-1.JPG;;17/04/2026 09:57:52;65,85;116,05;20;15,3000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:05:24;;0,00;€0,00;;;;;;;1;;;
OK;Famila_120x70-2.JPG;;17/04/2026 09:59:14;65,85;116,05;20;15,3000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:05:24;;0,00;€0,00;;;;;;;1;;;
OK;Famila_120x70-3.JPG;;17/04/2026 10:00:36;65,85;116,05;20;15,3000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:05:24;;0,00;€0,00;;;;;;;1;;;
OK;Famila_120x70-4.JPG;;17/04/2026 10:01:58;65,85;116,05;18;13,7500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:05:24;;0,00;€0,00;;;;;;;1;;;
OK;Teatro_Golden_100x70.JPG;;17/04/2026 10:11:38;65,85;94,05;8;5,0000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:03:58;;0,00;€0,00;;;;;;;1;;;
OK;Teatro_Golden_120x70.JPG;;17/04/2026 10:12:09;65,85;116,05;42;32,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:03:58;;0,00;€0,00;;;;;;;1;;;
