STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;Max_140x200_Mars.JPG;;02/07/2024 08:23:44;131,00;194,00;4;10,2000;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:09;02:28:44;;0,00;€0,00;;;;;;;0;;;
OK;Max_6x3_Menfi.JPG;;02/07/2024 08:27:57;568,00;280,00;1;15,9500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:21;02:28:44;;0,00;€0,00;;;;;;;0;;;
OK;Max_100x140.JPG;;02/07/2024 08:43:59;131,00;95,00;10;12,4500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:05;02:28:44;;0,00;€0,00;;;;;;;0;;;
OK;Max_140x200.JPG;;02/07/2024 08:58:31;131,00;194,00;11;28,0000;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:08;02:28:44;;0,00;€0,00;;;;;;;0;;;
OK;Max_6x3.JPG;;02/07/2024 09:29:53;568,00;280,00;5;79,5500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:20;02:28:44;;0,00;€0,00;;;;;;;0;;;
OK;Molinari_12x3.JPG;;02/07/2024 13:21:44;1.180,00;278,00;1;32,8500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:35;01:04:33;;0,00;€0,00;;;;;;;0;;;
OK;Molinari_12x3~1.JPG;;02/07/2024 13:49:20;1.180,00;278,00;1;32,8500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:35;01:04:33;;0,00;€0,00;;;;;;;0;;;
OK;PaghiPoco_6x3_PA.JPG;;02/07/2024 14:43:14;568,00;280,00;2;31,8500;DGen Papyrus G5;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:15;00:25:05;;0,00;€0,00;;;;;;;0;;;
OK;Akenta_580x280_Donna_Rosato.JPG;;01/07/2024 15:47:50;579,95;280,00;16;259,8500;DGen Papyrus G5 - 1;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:24;17:20:25;;0,00;€0,00;;;;;;;0;;;
OK;Akenta_580x280_Donna_Vermentino.JPG;;01/07/2024 20:45:29;579,95;280,00;14;227,3500;DGen Papyrus G5 - 1;BB Inchiostrazione elevata [Solutioncare];720x600;00:00:24;17:20:25;;0,00;€0,00;;;;;;;0;;;
