STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;OW_KIRON.JPG;;19/11/2025 10:37:10;307,00;137,00;1;4,2500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:06;00:00:24;;0,00;€0,00;;;;;;;1;;;
OK;OW_TECNORETE.JPG;;19/11/2025 10:44:28;307,00;137,00;1;4,2500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:06;00:00:24;;0,00;€0,00;;;;;;;1;;;
OK;OW_TECNOCASA.JPG;;19/11/2025 10:49:38;307,00;137,00;1;4,2500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:05;00:00:23;;0,00;€0,00;;;;;;;1;;;
OK;PVC_TECNOCASA.JPG;;19/11/2025 11:09:16;307,00;92,05;1;2,8500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:17;;0,00;€0,00;;;;;;;1;;;
OK;PVC_TECNORETE.JPG;;19/11/2025 11:25:25;307,00;92,05;1;2,8500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;PVC_KIRON.JPG;;19/11/2025 11:33:51;307,00;92,05;1;2,8500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:06;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;Max_Mizzica_120x70-1.JPG;;19/11/2025 11:42:18;66,00;116,05;6;0,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:02;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;Max_Mizzica_120x70-2.JPG;;19/11/2025 11:42:45;66,00;116,05;6;0,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;Max_Mizzica_120x70-3.JPG;;19/11/2025 11:43:15;66,00;116,05;4;0,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:24;;0,00;€0,00;;;;;;;1;;;
OK;Max_Mizzica_120x70-4.JPG;;19/11/2025 11:43:34;66,00;116,05;4;0,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:24;;0,00;€0,00;;;;;;;1;;;
OK;Cina_240x150.JPG;;19/11/2025 12:04:46;148,00;238,00;2;3,5500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:08;00:00:20;;0,00;€0,00;;;;;;;1;;;
OK;PVC_LATO_BUSSOLE_B.JPG;;19/11/2025 13:48:46;94,45;158,05;1;1,5000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:10;;0,00;€0,00;;;;;;;1;;;
OK;PVC_LATO_BUSSOLE._TRIANG_A.JPG;;19/11/2025 13:50:32;65,85;25,80;1;0,2000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:01;00:00:02;;0,00;€0,00;;;;;;;1;;;
OK;PVC_LATO_BUSSOLE_A.JPG;;19/11/2025 13:52:52;307,85;94,35;1;2,9500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:18;;0,00;€0,00;;;;;;;1;;;
OK;PVC_LATO_GUIDA.JPG;;19/11/2025 13:57:57;599,85;118,00;1;7,1000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:11;00:00:37;;0,00;€0,00;;;;;;;1;;;
OK;PVC_LATO_GUIDA_TRIANG.JPG;;19/11/2025 13:59:28;70,45;24,45;1;0,2000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:01;00:00:02;;0,00;€0,00;;;;;;;1;;;
OK;PVC_RETRO~2.JPG;;19/11/2025 14:11:58;170,05;60,05;1;1,0500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:01;00:00:07;;0,00;€0,00;;;;;;;1;;;
OK;OW_RETRO~1.JPG;;19/11/2025 14:24:45;172,05;82,00;1;1,4500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:02;00:00:08;;0,00;€0,00;;;;;;;1;;;
OK;OW_LATO_GUIDA.JPG;;19/11/2025 14:25:43;450,05;122,00;1;5,5000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:08;00:00:31;;0,00;€0,00;;;;;;;1;;;
OK;OW_LATO_BUSSOLE.JPG;;19/11/2025 14:30:45;308,05;122,00;1;3,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:06;00:00:21;;0,00;€0,00;;;;;;;1;;;
OK;Bussola_DX.JPG;;19/11/2025 14:42:03;42,55;138,05;1;0,6000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:02;00:00:08;;0,00;€0,00;;;;;;;1;;;
OK;Bussola_SX.JPG;;19/11/2025 14:42:03;42,55;138,05;1;0,6000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:01;00:00:08;;0,00;€0,00;;;;;;;1;;;
OK;Le_Savocherie_120x70_A~1.JPG;;19/11/2025 15:04:37;66,00;116,05;4;0,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:05;00:00:15;;0,00;€0,00;;;;;;;1;;;
OK;Le_Savocherie_120x70_B~1.JPG;;19/11/2025 15:04:54;66,00;116,05;4;0,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:03;00:00:15;;0,00;€0,00;;;;;;;1;;;
OK;Le_Savocherie_120x70_C~1.JPG;;19/11/2025 15:05:12;66,00;116,05;6;0,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:05;00:00:10;;0,00;€0,00;;;;;;;1;;;
