STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;Lato_Bussole_OW_F.JPG;;18/11/2025 07:53:45;130,00;45,10;1;0,6000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:05;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Bussole_OW_E.JPG;;18/11/2025 07:55:21;130,00;45,10;1;0,6000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:04;00:00:04;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Bussole_OW_D~1.JPG;;18/11/2025 07:56:45;274,55;153,30;1;4,2500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:21;00:00:28;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Bussole_OW_A~1.JPG;;18/11/2025 07:59:25;415,50;153,55;1;6,4000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:12;00:00:36;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Bussole_OW_C~1.JPG;;18/11/2025 08:11:21;110,50;153,75;1;1,7000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:12;00:00:11;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Bussole_OW_B~1.JPG;;18/11/2025 08:18:07;130,00;45,10;1;0,6000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:03;00:00:05;;0,00;€0,00;;;;;;;1;;;
OK;Bussola_B_OW_DX.JPG;;18/11/2025 08:28:42;65,30;196,85;1;1,3000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:03;00:00:18;;0,00;€0,00;;;;;;;1;;;
OK;Bussola_B_OW_SX.JPG;;18/11/2025 08:28:42;65,30;196,85;1;1,3000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:06;00:00:18;;0,00;€0,00;;;;;;;1;;;
OK;Bussola_A_OW_DX.JPG;;18/11/2025 08:31:15;65,30;196,85;1;1,3000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:03;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;Bussola_A_OW_SX.JPG;;18/11/2025 08:31:15;65,30;196,85;1;1,3000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:06;00:00:16;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Guida_OW_A~2.JPG;;18/11/2025 08:36:46;781,65;153,30;1;12,0000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:19;00:01:09;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Guida_OW_B~1.JPG;;18/11/2025 08:41:39;504,20;153,55;1;7,7500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:10;00:00:42;;0,00;€0,00;;;;;;;1;;;
OK;Retro_OW.JPG;;18/11/2025 09:06:34;142,55;140,10;1;2,0000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:03;00:00:12;;0,00;€0,00;;;;;;;1;;;
OK;StradePlus_120x70~1.JPG;;18/11/2025 09:38:01;116,00;66,00;1;0,8000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:03;00:00:05;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Bussole_PVC_D~2.JPG;;18/11/2025 10:10:03;378,25;109,00;1;4,1500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:12;00:00:25;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Bussole_PVC_C~2.JPG;;18/11/2025 10:18:33;271,95;109,00;1;3,0000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:13;00:00:19;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Bussole_PVC_B~4.JPG;;18/11/2025 10:21:32;106,90;108,85;1;1,2000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:03;00:00:09;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Bussole_PVC_A~3.JPG;;18/11/2025 10:26:13;413,75;108,85;1;4,5500;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:10;00:00:29;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Guida_PVC_A~1.JPG;;18/11/2025 10:31:28;925,05;108,70;1;10,1000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:21;00:00:57;;0,00;€0,00;;;;;;;1;;;
OK;Lato_Guida_PVC_B~1.JPG;;18/11/2025 10:39:19;650,30;108,70;1;7,1000;LIYU PCTK Series;Vinile 360x1440_Neutro [IMPRINTING];360x1440;00:00:11;00:00:39;;0,00;€0,00;;;;;;;1;;;
