STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;AM5_Alux.JPG;;07/10/2025 11:44:30;280,00;156,00;1;4,4000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:06;00:00:24;;0,00;€0,00;;;;;;;1;;;
OK;Amazzonia_Alux.JPG;;07/10/2025 11:49:41;280,00;156,00;1;4,4000;LIYU PCTK Series;Banner 360x1440_neutro [IMPRINTING];360x1440;00:00:10;00:00:25;;0,00;€0,00;;;;;;;1;;;
OK;AM5_100x70.JPG;;07/10/2025 13:08:01;66,00;94,05;26;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:01;00:00:18;;0,00;€0,00;;;;;;;1;;;
OK;AM5_120x70.JPG;;07/10/2025 13:09:32;66,00;116,05;94;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:00:05;;0,00;€0,00;;;;;;;1;;;
OK;AM5_120x70.JPG;;07/10/2025 13:33:43;66,00;116,05;94;0,8000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:00:04;;0,00;€0,00;;;;;;;1;;;
OK;AM5_100x70.JPG;;07/10/2025 13:40:08;66,00;94,05;10;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:01;00:00:41;;0,00;€0,00;;;;;;;1;;;
