STATO;LAVORI;NOME_LAVORO;DATA_DI_STAMPA;LARGHEZZA_cm;ALTEZZA_cm;COPIE;AREA_TOTALE_mq;STAMPANTE;SUPPORTO;RISOLUZIONE;TEMPO_RIP;TEMPO_STAMPA;INCHIOSTO_UTILIZZATO_ml;INCHIOSTRO_TOTALE;COSTO_INCHIOSTRO;NUMERO_ORDINE;SCOIETA;CLIENTE;NOTE;PERSONALIZZATO_01;PERSONALIZZATO_02;DUE_PRINT;DUE_DATE;ID_TAGLIO;
OK;NSC_120x70.JPG;;02/11/2024 08:00:46;66,00;116,00;28;21,4500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:03;00:01:52;;0,00;€0,00;;;;;;;28;;;
OK;TeatroGolden_100x70.JPG;;02/11/2024 08:09:54;66,00;94,05;8;0,6500;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:00:26;;0,00;€0,00;;;;;;;1;;;
OK;TeatroGolden_120x70.JPG;;02/11/2024 08:10:23;66,00;116,05;38;29,1000;LIYU PCTK Series;Vinile 360x1440_Standard [IMPRINTING];360x1440;00:00:02;00:03:10;;0,00;€0,00;;;;;;;38;;;
